REGION	Region	LOCATION	Country	INCOME	Income	VAR	Variable	TIME	Year	Value	Flag Codes	Flags
EUR	Europe	ITA	Italy	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	14.7		
EUR	Europe	ITA	Italy	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	8		
EUR	Europe	ITA	Italy	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	8.9		
ALL	All regions	ITA	Italy	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	13.5		
ALL	All regions	ITA	Italy	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	ITA	Italy	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	14.7		
ALL	All regions	ITA	Italy	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	8		
ALL	All regions	ITA	Italy	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	8.9		
ASI	Asia	JPN	Japan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24		
ASI	Asia	JPN	Japan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	20.2		
ASI	Asia	JPN	Japan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	21.3		
ASI	Asia	JPN	Japan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	29.6		
ASI	Asia	JPN	Japan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	24.8		
ALL	All regions	JPN	Japan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24		
ALL	All regions	JPN	Japan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	20.2		
ALL	All regions	JPN	Japan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	21.3		
ALL	All regions	JPN	Japan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	29.6		
ALL	All regions	JPN	Japan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	24.8		
ASI	Asia	KOR	Korea	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	23.4		
ASI	Asia	KOR	Korea	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ASI	Asia	KOR	Korea	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	17.5		
ASI	Asia	KOR	Korea	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	33		
ASI	Asia	KOR	Korea	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	20.4		
ALL	All regions	KOR	Korea	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	23.4		
ALL	All regions	KOR	Korea	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	KOR	Korea	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	17.5		
ALL	All regions	KOR	Korea	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	33		
ALL	All regions	KOR	Korea	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	20.4		
EUR	Europe	LUX	Luxembourg	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.9		
EUR	Europe	LUX	Luxembourg	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.3		
EUR	Europe	LUX	Luxembourg	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	8.1		
ALL	All regions	LUX	Luxembourg	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.9		
ALL	All regions	LUX	Luxembourg	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.3		
ALL	All regions	LUX	Luxembourg	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	8.1		
AME	Americas	MEX	Mexico	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	29		
AME	Americas	MEX	Mexico	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	60.4		
AME	Americas	MEX	Mexico	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	15.6		
AME	Americas	MEX	Mexico	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	17.5		
AME	Americas	MEX	Mexico	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	14.6		
ALL	All regions	MEX	Mexico	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	29		
ALL	All regions	MEX	Mexico	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	60.4		
ALL	All regions	MEX	Mexico	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	15.6		
ALL	All regions	MEX	Mexico	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	17.5		
ALL	All regions	MEX	Mexico	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	14.6		
EUR	Europe	NLD	Netherlands	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.1		
EUR	Europe	NLD	Netherlands	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	23.8		
EUR	Europe	NLD	Netherlands	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	13.5		
EUR	Europe	NLD	Netherlands	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	5		
EUR	Europe	NLD	Netherlands	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.1		
ALL	All regions	NLD	Netherlands	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.1		
ALL	All regions	NLD	Netherlands	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	23.8		
ALL	All regions	NLD	Netherlands	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	13.5		
ALL	All regions	NLD	Netherlands	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	5		
ALL	All regions	NLD	Netherlands	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.1		
ASI	Asia	NZL	New Zealand	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.7		
ASI	Asia	NZL	New Zealand	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.9		
ASI	Asia	NZL	New Zealand	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	17.5		
ASI	Asia	NZL	New Zealand	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.3		
ASI	Asia	NZL	New Zealand	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	22		
ALL	All regions	NZL	New Zealand	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.7		
ALL	All regions	NZL	New Zealand	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.9		
ALL	All regions	NZL	New Zealand	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	17.5		
ALL	All regions	NZL	New Zealand	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.3		
ALL	All regions	NZL	New Zealand	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	22		
EUR	Europe	NOR	Norway	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.5		
EUR	Europe	NOR	Norway	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.3		
EUR	Europe	NOR	Norway	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	7		
EUR	Europe	NOR	Norway	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.2		
EUR	Europe	NOR	Norway	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	19.5		
ALL	All regions	NOR	Norway	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.5		
ALL	All regions	NOR	Norway	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.3		
ALL	All regions	NOR	Norway	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	7		
ALL	All regions	NOR	Norway	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.2		
ALL	All regions	NOR	Norway	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	19.5		
EUR	Europe	POL	Poland	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.4		
EUR	Europe	POL	Poland	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.9		
EUR	Europe	POL	Poland	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	19.7		
EUR	Europe	POL	Poland	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.3		
EUR	Europe	POL	Poland	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	12.5		
ALL	All regions	POL	Poland	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.4		
ALL	All regions	POL	Poland	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.9		
ALL	All regions	POL	Poland	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	19.7		
ALL	All regions	POL	Poland	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.3		
ALL	All regions	POL	Poland	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	12.5		
EUR	Europe	PRT	Portugal	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.2		
EUR	Europe	PRT	Portugal	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	PRT	Portugal	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	7.4		
EUR	Europe	PRT	Portugal	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.2		
EUR	Europe	PRT	Portugal	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	11.4		
ALL	All regions	PRT	Portugal	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.2		
ALL	All regions	PRT	Portugal	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	PRT	Portugal	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	7.4		
ALL	All regions	PRT	Portugal	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.2		
ALL	All regions	PRT	Portugal	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	11.4		
EUR	Europe	SVK	Slovak Republic	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.5		
EUR	Europe	SVK	Slovak Republic	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	26.5		
EUR	Europe	SVK	Slovak Republic	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	5.9		
EUR	Europe	SVK	Slovak Republic	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.5		
EUR	Europe	SVK	Slovak Republic	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	24.4		
ALL	All regions	SVK	Slovak Republic	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.5		
ALL	All regions	SVK	Slovak Republic	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	26.5		
ALL	All regions	SVK	Slovak Republic	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	5.9		
ALL	All regions	SVK	Slovak Republic	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.5		
ALL	All regions	SVK	Slovak Republic	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	24.4		
EUR	Europe	ESP	Spain	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.3		
EUR	Europe	ESP	Spain	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.7		
EUR	Europe	ESP	Spain	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	11.7		
EUR	Europe	ESP	Spain	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	10.5		
EUR	Europe	ESP	Spain	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	5.8		
ALL	All regions	ESP	Spain	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	14.3		
ALL	All regions	ESP	Spain	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.7		
ALL	All regions	ESP	Spain	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	11.7		
ALL	All regions	ESP	Spain	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	10.5		
ALL	All regions	ESP	Spain	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	5.8		
EUR	Europe	SWE	Sweden	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	10.5		
EUR	Europe	SWE	Sweden	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	15.1		
EUR	Europe	SWE	Sweden	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	8.1		
EUR	Europe	SWE	Sweden	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.1		
EUR	Europe	SWE	Sweden	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	16.2		
ALL	All regions	SWE	Sweden	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	10.5		
ALL	All regions	SWE	Sweden	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	15.1		
ALL	All regions	SWE	Sweden	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	8.1		
ALL	All regions	SWE	Sweden	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	2.1		
ALL	All regions	SWE	Sweden	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	16.2		
EUR	Europe	CHE	Switzerland	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	8.1		
EUR	Europe	CHE	Switzerland	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	0.1		
EUR	Europe	CHE	Switzerland	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	13.3		
EUR	Europe	CHE	Switzerland	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	11.9		
EUR	Europe	CHE	Switzerland	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	6.5		
ALL	All regions	CHE	Switzerland	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	8.1		
ALL	All regions	CHE	Switzerland	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	0.1		
ALL	All regions	CHE	Switzerland	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	13.3		
ALL	All regions	CHE	Switzerland	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	11.9		
ALL	All regions	CHE	Switzerland	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	6.5		
ASI	Asia	TUR	Turkey	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	25.1		
ASI	Asia	TUR	Turkey	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	33.2		
ASI	Asia	TUR	Turkey	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	7.8		
ASI	Asia	TUR	Turkey	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	36.6		
ASI	Asia	TUR	Turkey	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	20		
ALL	All regions	TUR	Turkey	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	25.1		
ALL	All regions	TUR	Turkey	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	33.2		
ALL	All regions	TUR	Turkey	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	7.8		
ALL	All regions	TUR	Turkey	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	36.6		
ALL	All regions	TUR	Turkey	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	20		
EUR	Europe	GBR	United Kingdom	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.5		
EUR	Europe	GBR	United Kingdom	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.6		
EUR	Europe	GBR	United Kingdom	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.5		
EUR	Europe	GBR	United Kingdom	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	9.5		
EUR	Europe	GBR	United Kingdom	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	6.7		
ALL	All regions	GBR	United Kingdom	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.5		
ALL	All regions	GBR	United Kingdom	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.6		
ALL	All regions	GBR	United Kingdom	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.5		
ALL	All regions	GBR	United Kingdom	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	9.5		
ALL	All regions	GBR	United Kingdom	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	6.7		
AME	Americas	USA	United States	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.9		
AME	Americas	USA	United States	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	26.6		
AME	Americas	USA	United States	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	10.5		
AME	Americas	USA	United States	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	10.6		
AME	Americas	USA	United States	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	22.9		
ALL	All regions	USA	United States	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.9		
ALL	All regions	USA	United States	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	26.6		
ALL	All regions	USA	United States	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	10.5		
ALL	All regions	USA	United States	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	10.6		
ALL	All regions	USA	United States	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	22.9		
ASI	Asia	AFG	Afghanistan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	52.8		
ASI	Asia	AFG	Afghanistan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	81.3		
ASI	Asia	AFG	Afghanistan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	39.8		
ASI	Asia	AFG	Afghanistan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	45.6		
ASI	Asia	AFG	Afghanistan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	38.1		
ALL	All regions	AFG	Afghanistan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	52.8		
ALL	All regions	AFG	Afghanistan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	81.3		
ALL	All regions	AFG	Afghanistan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	39.8		
ALL	All regions	AFG	Afghanistan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	45.6		
ALL	All regions	AFG	Afghanistan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	38.1		
EUR	Europe	ALB	Albania	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.6		
EUR	Europe	ALB	Albania	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	33.3		
EUR	Europe	ALB	Albania	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	16.4		
EUR	Europe	ALB	Albania	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	26		
EUR	Europe	ALB	Albania	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	13.4		
ALL	All regions	ALB	Albania	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.6		
ALL	All regions	ALB	Albania	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	33.3		
ALL	All regions	ALB	Albania	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	16.4		
ALL	All regions	ALB	Albania	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	26		
ALL	All regions	ALB	Albania	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	13.4		
AFR	Africa	DZA	Algeria	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	79.9		
AFR	Africa	DZA	Algeria	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	41.2		
AFR	Africa	DZA	Algeria	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	61.3		
ALL	All regions	DZA	Algeria	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	79.9		
ALL	All regions	DZA	Algeria	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	41.2		
ALL	All regions	DZA	Algeria	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	61.3		
AFR	Africa	AGO	Angola	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	47.2		
AFR	Africa	AGO	Angola	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	19		
ALL	All regions	AGO	Angola	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	47.2		
ALL	All regions	AGO	Angola	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	19		
AME	Americas	ATG	Antigua and Barbuda	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	22.2		
ALL	All regions	ATG	Antigua and Barbuda	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	22.2		
AME	Americas	ARG	Argentina	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	23.1		
AME	Americas	ARG	Argentina	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	23		
AME	Americas	ARG	Argentina	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	7.1		
ALL	All regions	ARG	Argentina	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	23.1		
ALL	All regions	ARG	Argentina	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	23		
ALL	All regions	ARG	Argentina	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	7.1		
ASI	Asia	ARM	Armenia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	27.8		
ASI	Asia	ARM	Armenia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	33		
ASI	Asia	ARM	Armenia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	34.5		
ASI	Asia	ARM	Armenia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	23.4		
ASI	Asia	ARM	Armenia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	19.4		
ALL	All regions	ARM	Armenia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	27.8		
ALL	All regions	ARM	Armenia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	33		
ALL	All regions	ARM	Armenia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	34.5		
ALL	All regions	ARM	Armenia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	23.4		
ALL	All regions	ARM	Armenia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	19.4		
ASI	Asia	AZE	Azerbaijan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	28.7		
ASI	Asia	AZE	Azerbaijan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	28.2		
ASI	Asia	AZE	Azerbaijan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	42.8		
ASI	Asia	AZE	Azerbaijan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	20.9		
ASI	Asia	AZE	Azerbaijan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.4		
ALL	All regions	AZE	Azerbaijan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	28.7		
ALL	All regions	AZE	Azerbaijan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	28.2		
ALL	All regions	AZE	Azerbaijan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	42.8		
ALL	All regions	AZE	Azerbaijan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	20.9		
ALL	All regions	AZE	Azerbaijan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.4		
AME	Americas	BHS	Bahamas	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	22		
ALL	All regions	BHS	Bahamas	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	22		
ASI	Asia	BHR	Bahrain	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	92.1		
ALL	All regions	BHR	Bahrain	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	92.1		
ASI	Asia	BGD	Bangladesh	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	54.8		
ASI	Asia	BGD	Bangladesh	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	82.9		
ASI	Asia	BGD	Bangladesh	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	28.9		
ASI	Asia	BGD	Bangladesh	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	52.1		
ASI	Asia	BGD	Bangladesh	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	47.5		
ALL	All regions	BGD	Bangladesh	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	54.8		
ALL	All regions	BGD	Bangladesh	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	82.9		
ALL	All regions	BGD	Bangladesh	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	28.9		
ALL	All regions	BGD	Bangladesh	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	52.1		
ALL	All regions	BGD	Bangladesh	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	47.5		
AME	Americas	BRB	Barbados	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	BRB	Barbados	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	BLR	Belarus	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	20.6		
EUR	Europe	BLR	Belarus	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	31.6		
EUR	Europe	BLR	Belarus	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	14.7		
EUR	Europe	BLR	Belarus	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	14.7		
EUR	Europe	BLR	Belarus	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	20.5		
ALL	All regions	BLR	Belarus	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	20.6		
ALL	All regions	BLR	Belarus	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	31.6		
ALL	All regions	BLR	Belarus	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	14.7		
ALL	All regions	BLR	Belarus	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	14.7		
ALL	All regions	BLR	Belarus	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	20.5		
AME	Americas	BLZ	Belize	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	23.7		
ALL	All regions	BLZ	Belize	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	23.7		
AFR	Africa	BEN	Benin	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	39.8		
AFR	Africa	BEN	Benin	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	40.5		
AFR	Africa	BEN	Benin	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	27.7		
AFR	Africa	BEN	Benin	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	36.2		
